web_scraper_order,web_scraper_start_url,URL,Title,Ingredients,Preparation time,Conservation time,Level,Benefits
"1768680036-1","https://www.aroma-zone.com/recipes/recipe-list","https://www.aroma-zone.com/recipe/beurre-de-chanvre","Beurre de Chanvre pour le corps","~50 ml Huile de Chanvre BIO36 gAcide stéarique - Agent de texture4.5 gAlcool cétylique - Emulsifiant4.5 g","Préparation : 15  min","Conservation : ~6 mois","Niveau : Débutant","Adoucissant"
"1768680067-2","https://www.aroma-zone.com/recipes/recipe-list","https://www.aroma-zone.com/recipe/huile-pailletee-eclat-lumiere","Huile pailletée eclat lumière","~ 50 ml  Phase A Caprylis - Emollient30 g Huile de Carotte BIO (macérât huileux)9 gCoco silicone - Emollient2.3 gCire Cera Bellina0.7 gPhase BMica Orange sequin0.3 gPaillettes naturelles1.5 gFragrance naturelle Divine Vanille0.5 g soit 16 gouttesFragrance naturelle Summer0.5 g soit 17 gouttesAntioxydant Vitamine E naturelle0.09 g soit 3 gouttes","Préparation : 15  min","Conservation : ~6 mois","Niveau : Débutant","Adoucissant"
"1768680099-3","https://www.aroma-zone.com/recipes/recipe-list","https://www.aroma-zone.com/recipe/beurre-dolive-sos-peau-seche","Beurre d'olive sos peau sèche","~50 ml Beurre d'Olive44 gActif Bisabolol BIO0.25 gFragrance naturelle Douceur Lactée0.5 g","Préparation : 5  min","Conservation : ~6 mois","Niveau : Débutant","Nutritif"
"1768680125-4","https://www.aroma-zone.com/recipes/recipe-list","https://www.aroma-zone.com/recipe/huile-scintillante-au-monoi","Huile scintillante au monoï","~ 50 ml  Huile de Monoï BIO (macérât huileux)1 dosette de 10 mlDry Touch - Agent de toucher15 mlPaillettes naturelles1 pot de 2 gCaprylis - Emollient25 ml","Préparation : 5  min","Conservation : ~6 mois","Niveau : Débutant","Illuminateur"
"1768680157-5","https://www.aroma-zone.com/recipes/recipe-list","https://www.aroma-zone.com/recipe/lait-corporel-desalterant-douceur-de-coco","Lait corporel désaltérant douceur de coco","~100 ml  Actif Complexe Hydratation Intense3.2 gHuile de Coco BIO4.6 gFragrance naturelle Délice de Coco0.9 g","Préparation : 10  min","Conservation : ~3 mois*","Niveau : Débutant","Adoucissant"
"1768680188-6","https://www.aroma-zone.com/recipes/recipe-list","https://www.aroma-zone.com/recipe/huile-pailletee-poudre-dor","Huile pailletée poudre d'or","~100 ml  Huile de Sésame BIO100 mlMica Poudre d'or1 cuillère de 2 mlFragrance naturelle Baby Doll60 gouttes","Préparation : 5  min","Conservation : ~6 mois*","Niveau : Débutant","Nutritif"
"1768680215-7","https://www.aroma-zone.com/recipes/recipe-list","https://www.aroma-zone.com/recipe/beurre-anti-peau-de-croco-citron-vert-coco","Beurre ""anti-peau de croco"" citron vert & coco","~120 mlBeurre de Karité Nilotica brut100 gHuile essentielle Citron vert BIO0.3 gArôme alimentaire naturel Noix de coco2.9 g Mica Vert océan0.2 g","Préparation : 25  min","Conservation : ~6 mois *","Niveau : Débutant","Nutritif"
"1768680247-8","https://www.aroma-zone.com/recipes/recipe-list","https://www.aroma-zone.com/recipe/baume-reparateur-apres-soleil","Baume réparateur après-soleil","50 mlPhase A Beurre de Karité Nilotica brut5 cuillères à soupePhase BHuile essentielle Lavande aspic BIO10 gouttesHuile essentielle Hélichryse italienne (Immortelle) de Corse BIO3 gouttes","Préparation : 15  min","Conservation : ~6 mois*","Niveau : Débutant","Nutritif"
"1768680275-9","https://www.aroma-zone.com/recipes/recipe-list","https://www.aroma-zone.com/recipe/huile-solide-corps-et-cheveux-aux-huiles-nutritives-de-coco-argan","Huile solide corps et cheveux aux huiles nutritives de coco & argan","~200 mlCaprylis - Emollient126 gHuile d'Argan BIO9.2 gHuile de Coco BIO9 gBeurre de Karité Nilotica brut9 gCire Cera Bellina20 gFragrance naturelle Cocosun1.4 g","Préparation : 10  min","Conservation : ~6 mois*","Niveau : Débutant","Nutritif"
"1768680305-10","https://www.aroma-zone.com/recipes/recipe-list","https://www.aroma-zone.com/recipe/huile-de-massage-relaxante-0","Huile de massage relaxante à l'Amande douce","~100 ml  Huile d'Amande douce BIO87.8 gHuile essentielle Lavande fine Altitude AOP Provence0.6 g soit 23 gouttesHuile essentielle Petitgrain Bigarade BIO0.2 g soit 6 gouttesHuile essentielle Mandarine rouge de Sicile BIO1.3 g soit 50 gouttes","Préparation : 10  min","Conservation : ~6 mois *","Niveau : Débutant","Adoucissant"
"1768680337-11","https://www.aroma-zone.com/recipes/recipe-list","https://www.aroma-zone.com/recipe/huile-pailletee-delice-de-coco","Huile pailletée délice de coco","~50 ml Huile de Coco BIO36.8 gCoco silicone - Emollient8.6 gMica Poudre d'or0.25 gFragrance naturelle Délice de Coco1.5 gAntioxydant Vitamine E naturelle0.1 g","Préparation : 15  min","Conservation : ~6 mois","Niveau : Débutant","Adoucissant"
"1768680376-12","https://www.aroma-zone.com/recipes/recipe-list","https://www.aroma-zone.com/recipe/lait-minceur-resculpteur-marin","Lait minceur resculpteur aux actifs marins","~200 mlPhase A Huile de Jojoba BIO30 gCire émulsifiante n°3 sans palme6 gPhase BEau minérale138 gGomme Xanthane0.6 gPhase CActif Fuco'slim BIO20 gHuile essentielle de Criste marine (Christe marine) BIO2 gFragrance naturelle Feuille de Figuier2 gAntioxydant Vitamine E naturelle0.4 gConservateur Cosgard0.6 g","Préparation : 30  min","Conservation : ~6 mois*","Niveau : Avancé","Minceur"
"1768680400-13","https://www.aroma-zone.com/recipes/recipe-list","https://www.aroma-zone.com/recipe/parfum-guimauve-poudree","Parfum guimauve poudrée","~100 ml  Base Parfum (alcool 90°)90 mlFragrance naturelle Baby Doll3 mlFragrance naturelle Sweet candy36 gouttesHuile essentielle Amande amère1 goutte","Préparation : 10  min","Conservation : ~6 mois","Niveau : Débutant","Parfumant"
"1768680427-14","https://www.aroma-zone.com/recipes/recipe-list","https://www.aroma-zone.com/recipe/composition-diffuser-hiver-tranquille","Composition à diffuser ""hiver tranquille""","~ 10 ml Huile essentielle Eucalyptus radié BIO66 gouttesHuile essentielle Ravintsara (Ravintsare) BIO3 mlHuile essentielle Cajeput BIO3 ml Huile essentielle Tea tree (Arbre à Thé)17 gouttesHuile essentielle Saro BIO35 gouttesHuile essentielle Niaouli BIO10 gouttes","Préparation : 5  min","Conservation : ~6 mois *","Niveau : Débutant",""
"1768680455-15","https://www.aroma-zone.com/recipes/recipe-list","https://www.aroma-zone.com/recipe/eau-de-parfum-terre-dhomme","Eau de parfum ""Senteur des Terres""","~50 ml Phase A Base Parfum (alcool 90°)36 g Phase BHuile essentielle Orange douce0.8 g soit 30 gouttesHuile essentielle Pamplemousse sans furocoumarines BIO0.4 g soit 15 gouttesHuile essentielle Baies Roses0.5 g soit 18 gouttesHuile essentielle Poivre noir BIO0.8 g soit 30 gouttesHuile essentielle Géranium Bourbon BIO0.08 g soit 3 gouttesFragrance naturelle Bois d'Hinoki0.8 g soit 30 gouttesHuile essentielle Vétiver d'Haïti0.6 g soit 20 gouttesAbsolue de Benjoin de Siam0.35 g soit 10 gouttes","Préparation : 15  min","Conservation : ~6 mois","Niveau : Débutant","Parfumant"
"1768680494-16","https://www.aroma-zone.com/recipes/recipe-list","https://www.aroma-zone.com/recipe/demaquillant-solide-pour-peaux-seches-et-irritees","Démaquillant solide pour peaux sèches et irritées","~ 75 gBeurre de Cupuaçu brut18.2 gOlivem 1000 - émulsifiant30 gAlcool cétéarylique - Emulsifiant13 gTensioactif Sodium Lauroyl Sarcosinate10.3 gFragrance naturelle Douceur Lactée0.5 g soit 19 gouttes","Préparation : 15  min","Conservation : ~6 mois*","Niveau : Débutant","Adoucissant"
"1768680515-17","https://www.aroma-zone.com/recipes/recipe-list","https://www.aroma-zone.com/recipe/galets-effervescents-framboise","Galets effervescents pour le bain ""Framboise gourmande""","~100 gPhase A Bicarbonate de Soude (bicarbonate de sodium)60 gAcide citrique30 gBeurre de Cacao blanc pastilles BIO4 gFragrance naturelle Framboise gourmande2.2 gPhase BColorant naturel Rouge grenadine1.8 g","Préparation : 20  min","Conservation : ~6 mois*","Niveau : Avancé","Parfumant"
"1768680545-18","https://www.aroma-zone.com/recipes/recipe-list","https://www.aroma-zone.com/recipe/savon-bonne-mine-largile-rose","Savon bonne-mine à l'argile rose","~ 100 gPhase A Huile d'Olive BIO2 gArgile rose surfine4 gHuile essentielle Bergamote de Calabre BIO1.5 g soit 58 gouttesHuile essentielle Mandarine jaune2.5 gHuile essentielle Lemongrass BIO1 g soit 38 gouttesPhase BEau minérale21.5 gPhase CSoude caustique pure (solide)8.9 gPhase DBeurre de Karité (sauvage) désodorisé20 gHuile de Sésame BIO30 gHuile de Coprah BIO15 g","Préparation : 50  min","Conservation : ~6 mois","Niveau : Avancé","Bonne mine & bronzage"
"1768680575-19","https://www.aroma-zone.com/recipes/recipe-list","https://www.aroma-zone.com/recipe/bougie-de-massage-offrir-fleur-doranger","Bougie de massage à offrir fleur d'Oranger","~80 mlCire de Soja en pastilles (non OGM)65 gHuile de Germes de blé14.7 gHuile essentielle Petitgrain Bigarade BIO1.6 gFragrance naturelle Douceur d'Orient0.8 g","Préparation : 25  min","Conservation : ~6 mois *","Niveau : Débutant","Adoucissant"
"1768680605-20","https://www.aroma-zone.com/recipes/recipe-list","https://www.aroma-zone.com/recipe/soin-des-cheveux-boucles-devitalises","Huile de soin protectrice cheveux bouclés","~100 ml Huile de Sapote9 gHuile d'Yangu9 gHuile de Coco BIO73,7 gHuile essentielle Ylang-Ylang complète BIO0,15 g soit 5 gouttesAntioxydant Vitamine E naturelle0,1 g soit 3 gouttes","Préparation : 5  min","Conservation : 6 mois *","Niveau : Débutant","Nutritif"
"1768680635-21","https://www.aroma-zone.com/recipes/recipe-list","https://www.aroma-zone.com/recipe/gel-lavant-neutre-doux","Gel lavant neutre doux","~ 500 mlPhase A Tensioactif Base douceur250 gTensioactif Douceur de coco25 gPhase BEau minérale220 gPhase CConservateur Naticide3 gAcide lactique3.3 g","Préparation : 15  min","Conservation : ~3 mois *","Niveau : Débutant","Adoucissant"
"1768680667-22","https://www.aroma-zone.com/recipes/recipe-list","https://www.aroma-zone.com/recipe/serum-precieux-elixir-de-jeunesse","Sérum précieux « elixir de jeunesse »","~ 15 ml   Huile de Son riz BIO4.6 gCaprylis - Emollient9.15 gActif Coenzyme Q100.15 g soit 7 gouttesHuile essentielle Achillée millefeuille BIO0.04 g soit 5 gouttesFragrance naturelle Douceur Lactée0.20 g soit 8 gouttesAntioxydant Vitamine E naturelle0.05 g soit 2 gouttes","Préparation : 10  min","Conservation : ~6 mois*","","Anti-âge"
