web_scraper_order,web_scraper_start_url,URL,Title,Prep time,Level,Ingredients
"1768696362-1","https://www.brambleberry.com/projects?srsltid=AfmBOori9r9W8U2gw_RhCgIhGvlxHVCuIutgIAGTz86kQyIkJuSpdU4J","https://www.brambleberry.com/projects/bath-bombs/pumpkin-spice-bath-truffles-project/PS000005.html","Pumpkin Spice Bath Truffles Project","1 hour","Intermediate","Pumpkin Extract"
"1768696381-2","https://www.brambleberry.com/projects?srsltid=AfmBOori9r9W8U2gw_RhCgIhGvlxHVCuIutgIAGTz86kQyIkJuSpdU4J","https://www.brambleberry.com/projects/soap-making/cold-process/chocolate-mint-soap-cupcakes/PS000013.html","Chocolate Mint Soap Cupcakes","2 hours","Advanced","Peppermint Mocha Cupcakes"
"1768696401-3","https://www.brambleberry.com/projects?srsltid=AfmBOori9r9W8U2gw_RhCgIhGvlxHVCuIutgIAGTz86kQyIkJuSpdU4J","https://www.brambleberry.com/projects/soap-making/cold-process/orange-spice-hot-process-soap/PS000012.html","Orange Spice Hot Process Soap","1 hour","Beginner","Orange 10X"
"1768696421-4","https://www.brambleberry.com/projects?srsltid=AfmBOori9r9W8U2gw_RhCgIhGvlxHVCuIutgIAGTz86kQyIkJuSpdU4J","https://www.brambleberry.com/projects/body-care/lotions-and-butters/frankincense-body-balm-project/PS000010.html","Frankincense Body Balm Project","30 minutes","Beginner","Frankincense essential oil"
"1768696441-5","https://www.brambleberry.com/projects?srsltid=AfmBOori9r9W8U2gw_RhCgIhGvlxHVCuIutgIAGTz86kQyIkJuSpdU4J","https://www.brambleberry.com/projects/soap-making/melt-and-pour/creamy-coffee-melt-and-pour-project/PS000006.html","Creamy Coffee Melt and Pour Project","30 minutes","Beginner","Goat Milk Melt and Pour Soap Base"
"1768696461-6","https://www.brambleberry.com/projects?srsltid=AfmBOori9r9W8U2gw_RhCgIhGvlxHVCuIutgIAGTz86kQyIkJuSpdU4J","https://www.brambleberry.com/projects/skincare/turmeric-clay-face-mask-project/PS000004.html","Turmeric Clay Face Mask Project","30 minutes","Intermediate","luxurious skincare ingredients"
"1768696481-7","https://www.brambleberry.com/projects?srsltid=AfmBOori9r9W8U2gw_RhCgIhGvlxHVCuIutgIAGTz86kQyIkJuSpdU4J","https://www.brambleberry.com/projects/body-care/soaks-and-scrubs/wild-rose-bath-salts-project/PS000008.html","Wild Rose Bath Salts Project","30 minutes","Beginner","Dead Sea salt"
"1768696501-8","https://www.brambleberry.com/projects?srsltid=AfmBOori9r9W8U2gw_RhCgIhGvlxHVCuIutgIAGTz86kQyIkJuSpdU4J","https://www.brambleberry.com/projects/skincare/cleansing-charcoal-facial-scrub-project/PS000002.html","Cleansing Charcoal Facial Scrub Project","30 minutes","Beginner","liquid soap base"
"1768696521-9","https://www.brambleberry.com/projects?srsltid=AfmBOori9r9W8U2gw_RhCgIhGvlxHVCuIutgIAGTz86kQyIkJuSpdU4J","https://www.brambleberry.com/projects/soap-making/cold-process/eggnog-soap-project/PS000011.html","Eggnog Soap Project","2 hours","Advanced","Rustic Woods and Rum Fragrance Oil"
"1768696541-10","https://www.brambleberry.com/projects?srsltid=AfmBOori9r9W8U2gw_RhCgIhGvlxHVCuIutgIAGTz86kQyIkJuSpdU4J","https://www.brambleberry.com/projects/candle-and-home/floral-wax-bark-melts-project/PS000009.html","Floral Wax Bark Melts Project","30 minutes","Beginner","Bewitched Orchid Fragrance Oil"
"1768696561-11","https://www.brambleberry.com/projects?srsltid=AfmBOori9r9W8U2gw_RhCgIhGvlxHVCuIutgIAGTz86kQyIkJuSpdU4J","https://www.brambleberry.com/projects/body-care/lotions-and-butters/turmeric-whipped-body-butter/PS000014.html","Turmeric Whipped Body Butter","30 minutes","Beginner","turmeric shea butter"
"1768696585-12","https://www.brambleberry.com/projects?srsltid=AfmBOori9r9W8U2gw_RhCgIhGvlxHVCuIutgIAGTz86kQyIkJuSpdU4J","https://www.brambleberry.com/projects/soap-making/cold-process/creamy-goat-milk-soap-project/PS000018.html","Creamy Goat Milk Soap Project","2 hours","Intermediate","powdered goat milk"
"1768696603-13","https://www.brambleberry.com/projects?srsltid=AfmBOori9r9W8U2gw_RhCgIhGvlxHVCuIutgIAGTz86kQyIkJuSpdU4J","https://www.brambleberry.com/projects/soap-making/cold-process/lavender-and-charcoal-soap-project/PS000029.html","Lavender and Charcoal Soap Project","2 hours","Intermediate","olive oil"
"1768696623-14","https://www.brambleberry.com/projects?srsltid=AfmBOori9r9W8U2gw_RhCgIhGvlxHVCuIutgIAGTz86kQyIkJuSpdU4J","https://www.brambleberry.com/projects/candle-and-home/beeswax-and-honey-candle-project/PS000024.html","Beeswax and Honey Candle Project","1 hour","Beginner","beeswax"
"1768696643-15","https://www.brambleberry.com/projects?srsltid=AfmBOori9r9W8U2gw_RhCgIhGvlxHVCuIutgIAGTz86kQyIkJuSpdU4J","https://www.brambleberry.com/projects/soap-making/cold-process/lingonberry-spice-soap-project/PS000017.html","Lingonberry Spice Soap Project","1 hour","Advanced","activated charcoal"
"1768696663-16","https://www.brambleberry.com/projects?srsltid=AfmBOori9r9W8U2gw_RhCgIhGvlxHVCuIutgIAGTz86kQyIkJuSpdU4J","https://www.brambleberry.com/projects/soap-making/cold-process/wildflower-rebatch-soap-project/PS000022.html","Wildflower Rebatch Soap Project","1 hour","Intermediate","Luxury Rebatch Soap"
"1768696684-17","https://www.brambleberry.com/projects?srsltid=AfmBOori9r9W8U2gw_RhCgIhGvlxHVCuIutgIAGTz86kQyIkJuSpdU4J","https://www.brambleberry.com/projects/soap-making/cold-process/blueberry-thyme-soap-project/PS000033.html","Blueberry Thyme Soap Project","2 hours","Intermediate","Madder Root"
"1768696703-18","https://www.brambleberry.com/projects?srsltid=AfmBOori9r9W8U2gw_RhCgIhGvlxHVCuIutgIAGTz86kQyIkJuSpdU4J","https://www.brambleberry.com/projects/bath-bombs/rose-gold-bath-bomb-project/PS000016.html","Rose Gold Bath Bomb Project","30 minutes","Beginner","Baking Soda"
"1768696729-19","https://www.brambleberry.com/projects?srsltid=AfmBOori9r9W8U2gw_RhCgIhGvlxHVCuIutgIAGTz86kQyIkJuSpdU4J","https://www.brambleberry.com/projects/candle-and-home/lavender-linen-spray-project/PS000025.html","Lavender Linen Spray Project","30 minutes","Beginner","Lavender Essential Water"
"1768696747-20","https://www.brambleberry.com/projects?srsltid=AfmBOori9r9W8U2gw_RhCgIhGvlxHVCuIutgIAGTz86kQyIkJuSpdU4J","https://www.brambleberry.com/projects/body-care/lotions-and-butters/orchid-lotion-project/PS000032.html","Orchid Lotion Project","30 minutes","Intermediate","jojoba oil"
"1768696767-21","https://www.brambleberry.com/projects?srsltid=AfmBOori9r9W8U2gw_RhCgIhGvlxHVCuIutgIAGTz86kQyIkJuSpdU4J","https://www.brambleberry.com/projects/skincare/rose-clay-face-mask-project/PS000020.html","Rose Clay Face Mask Project","30 minutes","Intermediate","Rose clay"
